step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,57,1,3.435262895115218,0.0,0.2
2,82,2,3.986740202279082,0.0,0.2222222222222222
3,251,3,2.397611563799742,0.0,0.34710743801652894
4,324,4,3.8780505940564356,0.0,0.13953488372093023
5,365,5,1.6296811421890163,0.0,0.1
6,390,6,3.985946752525051,0.0,0.08333333333333333
7,415,7,2.3640831710746593,0.0,0.4
8,488,8,0.9734088396103794,0.0,0.47619047619047616
9,553,9,3.9935592221874936,0.0,0.16279069767441862
10,626,10,2.7305157066524086,0.0,0.2127659574468085
11,659,11,1.9825297555972066,0.0,0.2
12,700,12,2.725720226873877,0.0,0.24
13,781,13,1.3503835973371445,0.0,0.45161290322580644
14,846,14,2.353924090348155,0.0,0.29545454545454547
15,871,15,2.233671050175714,0.0,0.3076923076923077
16,904,16,2.0200011528143658,0.0,0.23076923076923078
17,945,17,1.3821385205173866,0.0,0.3333333333333333
18,994,18,2.867022265436438,0.0,0.3783783783783784
19,1083,19,2.1957586557945152,0.0,0.4142857142857143
20,1228,20,1.9046663721193584,0.0,0.41
21,1301,21,1.8694767610116914,0.0,0.3055555555555556
22,1366,22,2.3111483180703365,0.0,0.2972972972972973
23,1391,23,2.4737165891751647,0.0,0.0
24,1432,24,1.8550767520703375,0.0,0.3157894736842105
25,1593,25,2.9597546402540176,0.0,0.4027777777777778
26,1666,26,2.715024532230778,0.0,0.3469387755102041
27,1699,27,2.296189280534163,0.0,0.3333333333333333
28,1780,28,1.978105542064295,0.0,0.3442622950819672
29,1821,29,1.5218018144415693,0.0,0.2857142857142857
30,1950,30,2.741352941259975,0.0,0.29896907216494845
31,1967,31,3.409105119630694,0.0,0.3
32,1992,32,1.4470165115843217,0.0,0.5384615384615384
33,2025,33,2.252833172599785,0.0,0.3333333333333333
34,2090,34,1.8169655939406948,0.0,0.3783783783783784
35,2131,35,2.7888983590863647,0.0,0.28
36,2316,36,1.306201619173238,0.0,0.3026315789473684
37,2333,37,0.5680845873104409,0.0,0.2
38,2382,38,1.7588623824863074,0.0,0.44
39,2439,39,1.637785936777613,0.0,0.3448275862068966
40,2456,40,1.9067351958155632,0.0,0.2222222222222222
41,2481,41,0.6229600396743626,0.0,0.25
42,2506,42,1.2210969478885332,0.0,0.16666666666666666
43,2571,43,2.131574857287924,0.0,0.43137254901960786
44,2596,44,1.102969960644841,0.0,0.4444444444444444
45,2693,45,1.854081847845955,0.0,0.3333333333333333
46,2734,46,1.602529123504355,0.0,0.2727272727272727
47,2799,47,1.3042702393976287,0.0,0.3333333333333333
48,2848,48,1.9160847648854056,0.0,0.2
49,2881,49,1.3916273099649699,0.0,0.4
50,2922,50,1.78706607183069,0.0,0.23809523809523808
51,3003,51,3.1000254751270404,0.0,0.3064516129032258
52,3100,52,1.8093412513285392,0.0,0.2857142857142857
53,3149,53,2.5651398485309134,0.0,0.14285714285714285
54,3198,54,2.3607894061750994,0.0,0.23076923076923078
55,3231,55,2.8380671509820967,0.0,0.2631578947368421
56,3320,56,1.7007664243925618,0.0,0.41304347826086957
57,3361,57,1.758374259185046,0.0,0.35294117647058826
58,3410,58,1.7853192276659442,0.0,0.4666666666666667
59,3459,59,1.948074346532109,0.0,0.34615384615384615
60,3484,60,1.859617588302741,0.0,0.3333333333333333
61,3549,61,1.3075448731223152,0.0,0.42424242424242425
62,3574,62,0.4668494511417036,0.0,0.0
63,3663,63,0.9800435525249288,0.0,0.43333333333333335
64,3728,64,2.8583051943096507,0.0,0.17777777777777778
65,3769,65,2.310358981018886,0.0,0.26666666666666666
66,4002,66,1.2064529958920522,0.0,0.7231638418079096
67,4019,67,2.327798986509442,0.0,0.16666666666666666
68,4068,68,2.8522817685858657,0.0,0.22580645161290322
69,4093,69,1.3721451348314684,0.0,0.2857142857142857
70,4142,70,2.4152567639915894,0.0,0.17391304347826086
71,4191,71,2.574447608287834,0.0,0.2727272727272727
72,4240,72,2.6311089001813284,0.0,0.25
73,4257,73,2.3842019005678594,0.0,0.3
74,4290,74,2.5241961097804597,0.0,0.2727272727272727
75,4371,75,2.07787881432235,0.0,0.34615384615384615
76,4404,76,2.42005528739508,0.0,0.2727272727272727
77,4429,77,1.1019298863325577,0.0,0.5
78,4454,78,0.542718729727591,0.0,0.5714285714285714
79,4567,79,2.263665316604446,0.0,0.3670886075949367
80,4608,80,3.442169741002843,0.0,0.13333333333333333
81,4641,81,1.2437781973402888,0.0,0.5789473684210527
82,4714,82,1.5735559193692945,0.0,0.13793103448275862
83,4755,83,1.3873718096176164,0.0,0.16666666666666666
84,4772,84,1.6203338334988802,0.0,0.2
85,4885,85,2.0558746651782087,0.0,0.4
86,4950,86,2.1779297925494028,0.0,0.2
87,5007,87,2.2737726538405485,0.0,0.3333333333333333
88,5056,88,2.4095952825141524,0.0,0.4117647058823529
89,5113,89,2.4461176400097715,0.0,0.25
90,5146,90,1.758355674869381,0.0,0.2
91,5203,91,2.3897591275029115,0.0,0.325
92,5244,92,1.7808720030593688,0.0,0.38095238095238093
93,5277,93,2.5333172317035495,0.0,0.3
94,5350,94,2.0122937943648624,0.0,0.3902439024390244
95,5399,95,1.4070542608826386,0.0,0.3333333333333333
96,5432,96,1.8972250756202267,0.0,0.16666666666666666
97,5449,97,2.91650272014027,0.0,0.0
98,5490,98,1.1546143083274365,0.0,0.5454545454545454
99,5619,99,1.774412301819757,0.0,0.48
100,5660,100,2.635508473050315,0.0,0.375
101,5693,101,2.2025252038706093,0.0,0.2
102,5742,102,2.1068315289450883,0.0,0.3333333333333333
103,5791,103,1.062741143295231,0.0,0.375
104,5824,104,0.3262286129329004,0.0,0.3333333333333333
105,5849,105,1.181524257681643,0.0,0.0
